word,tag
taste,NN
worth,NN
probably,RB
skip,JJ
nutmeg,JJ
fan,NN
whole,JJ
good,VB
flakes,NNS
coarsely,RB
ground,VBP
pepper,IN
mopping,VBG
stuff,NN
pita,NN
vegan,JJ
tofutti,NN
cream,NN
cheese,NN
whipping,VBG
single,JJ
piece,NN
eaten,VBZ
lennie,JJ
fat,JJ
love,VB
lost,VBD
thank,RB
posting,VBG
taste,VB
kraut,JJ
esential,JJ
took,VBD
angela,RP
advice,NN
seasonings,NNS
ground,NN
become,JJ
major,JJ
comfort,NN
food,NN
go,VB
way,NN
forget,NN
nutmeg,NNS
love,VBP
snack,NN
understatement,NN
chocolate,NN
chips,NNS
peanuts,VBP
raisins,NNS
mobbed,VBD
school,NN
pull,NN
whenever,WRB
feel,NN
cooking,NN
may,MD
true,JJ
spanish,JJ
cares,NNS
tastes,VBZ
keep,VBP
sometime,RB
beef,IN
turn,NN
main,JJ
pace,NN
adiya,RB
addicted,VBD
rather,RB
bar,VB
marzipan,NN
bar,NN
market,NN
marzipan,NNS
difference,NN
lends,NNS
shaping,VBG
left,JJS
brandy,NN
vanilla,NN
flowers,NNS
animals,NNS
class,NN
project,NN
raddiatore,NN
olive,JJ
oil,NN
become,VB
new,JJ
upped,JJ
mushrooms,NNS
vegetable,JJ
stock,NN
chicken,VBD
delight,NN
shell,NN
table,JJ
children,NNS
turned,VBD
noses,NNS
know,VBP
think,VBP
appreciate,JJ
broccoli,NNS
plate,VBP
bh,NN
preferred,VBD
peas,NNS
scramble,JJ
better,RBR
cooking,VBG
spray,NN
followed,VBD
liver,NN
however,RB
eat,VB
excellent,JJ
mins,NNS
wasnt,VBP
enough,RB
broiled,VBN
extra,JJ
cookies,NNS
flour,NNS
make,VBP
dough,JJ
managable,JJ
bread,JJ
awesome,VBP
melt,JJ
mouth,NN
little,RB
garlic,JJ
cloves,NNS
minced,VBN
run,NN
processer,NN
delicious,JJ
salt,JJ
crisp,NN
awesome,RB
created,VBN
punch,NN
use,NN
vodka,NN
rum,VB
lots,JJ
raves,NNS
thanksgiving,VBG
balls,NNS
pumpkin,JJ
thanksgiving,NN
change,VBP
much,RB
lighter,JJR
tastier,JJR
changed,VBD
traditional,JJ
pumpkin,NN
actually,RB
preferred,VBN
cold,JJ
winter,NN
cold,NN
add,NN
frappe,RB
alot,NN
banana,NNS
stuffing,VBG
moist,NN
keeper,IN
first,JJ
batch,NN
past,NN
friday,NN
morning,NN
powder,NN
friday,JJ
afternoon,NN
already,RB
weekend,NN
works,NNS
didnt,NN
favorite,JJ
desserts,NNS
lemon,RB
typical,JJ
american,JJ
palates,NNS
highly,RB
suggest,VBP
least,VBD
soup,JJ
awesome,JJ
looking,VBG
leftover,NN
turkey,NN
soup,RB
plenty,JJ
creamy,JJ
texture,NN
homemade,VBN
mac,JJ
easy,NN
ham,NN
care,NN
mac,FW
said,VBD
keeper,JJ
suggestion,NN
lennie,NN
pounds,NNS
beef,RBR
brisket,NN
doubled,VBD
forgot,VBD
fennel,NN
seeds,NNS
sat,VBD
barely,RB
get,VB
faces,VBZ
hardly,RB
favorites,VBZ
use,VBP
paprika,JJ
potatos,NN
excellant,NN
chili,NN
results,NNS
skinless,NN
boneless,NN
breasts,NNS
try,VB
tostito,JJ
aside,RB
whipped,VBN
brown,JJ
sugar,NN
half,VBD
quickly,RB
fought,VBD
daughters,NNS
wanting,VBG
take,VB
worked,VBN
canned,VBD
peas,JJ
chick,NN
kidney,VBP
wow,NNS
say,VBP
light,VBD
supper,NN
paprika,NN
cheddar,NN
swiss,JJ
emmenthal,NN
brought,VBD
lunch,VBP
today,NN
ca,MD
wait,VB
absolutely,RB
perfect,JJ
haloumi,NN
melt,NN
fried,VBD
heaven,JJ
chanuka,NN
foods,NNS
menu,NN
yummy,RB
complicated,VBD
find,VB
easier,JJ
roll,NN
dough,NN
hands,NNS
flatten,JJ
press,JJ
olive,NN
mmmmmm,NN
simply,RB
required,VBN
around,RB
world,NN
blast,NN
free,JJ
candies,NNS
either,DT
fun,JJ
discover,NN
smash,NN
dust,VBP
chunks,NNS
prettier,JJR
disappointed,JJ
lot,VB
orange,JJR
sweet,VB
possibilities,NNS
play,NN
maybe,RB
double,JJ
oranges,NNS
sweetner,VBP
see,VBP
produce,VBP
expecting,VBG
smell,NN
kitchen,VBZ
cool,JJ
leave,VB
alone,RB
changed,VBN
caraway,NN
rye,NN
smelly,RB
emmenthal,JJ
dash,NN
red,JJ
flakes,VBZ
lunch,NN
admit,NN
exact,JJ
make,NN
scallions,NNS
fantastic,JJ
call,VBP
snackwich,JJ
differently,RB
eggs,NNS
press,NN
get,NN
lovely,RB
triangle,JJ
shaped,JJ
omelettes,NNS
fit,VBP
perfectly,RB
stop,VB
picking,VBG
formed,VBN
finely,RB
ground,JJ
almonds,NNS
grated,JJ
rind,NN
soggy,NN
turn,VB
tried,RP
oven,RB
success,NN
like,JJ
pancakes,NNS
wanted,VBD
bit,RB
different,JJ
buffet,NN
tart,JJ
shells,NNS
alcohol,NN
plus,CC
used,JJ
low,JJ
brown,NN
buttered,VBD
rum,JJ
rick,JJ
decadent,NN
keep,JJ
mixture,NN
freezer,NN
alcholic,JJ
drinks,NNS
gave,VBD
thumbs,NNS
sooo,NN
doubt,NN
wait,NN
mg,NN
cousin,NN
shirley,NN
hit,NN
frozen,JJ
partly,RB
pulped,VBD
processor,NN
sweet,NN
mix,RB
top,JJ
request,JJS
gone,VBN
fried,JJ
sole,JJ
fillets,NNS
mashed,VBD
glass,NN
couple,NN
others,NNS
group,NN
person,NN
seasoning,VBG
adjust,NN
herbs,NNS
quick,NN
excellent,NN
change,VB
ended,VBD
tortillas,JJ
important,JJ
roast,NN
close,RB
edge,NN
wo,MD
seal,VB
clear,JJ
real,JJ
whipped,JJ
glopped,VBD
pieces,NNS
cake,VBP
sweet,RB
thought,JJ
divine,NN
unique,NN
homemade,NN
strawberry,NN
jam,NN
right,NN
believe,VB
supper,JJ
tonight,NN
flavorful,JJ
making,NN
feeding,VBG
sissies,NNS
cut,VBN
pastrami,JJ
bacon,NN
jewish,JJ
heaven,NN
zillion,NN
versions,NNS
macaroni,VBP
cream,VBP
luscious,JJ
often,RB
cross,JJ
mac,NNS
elbows,NNS
alfredo,VBP
lennie,VBP
nixed,JJ
cider,NN
carrots,NNS
handful,NN
chopped,VBD
started,VBD
discovered,VBN
creamed,VBD
creaminess,NN
potatos,NNS
twice,RB
superb,NN
frying,VBG
omelette,JJ
roasted,VBD
mozzarella,NN
word,NN
shredded,VBD
meat,NN
afterwards,NNS
serving,VBG
noodles,NNS
outstanding,JJ
spinach,NN
fettucine,NN
okay,IN
spaghetti,NNS
always,RB
soup,NN
honest,JJS
print,NN
friend,NN
lunch,JJ
saturday,NN
totally,RB
seconds,NNS
thirds,NNS
ton,VB
dorothy,VBP
winner,NN
spicy,NN
grade,NN
rest,NN
mix,NN
prefer,NN
plain,NN
left,VBN
cloves,VBZ
right,JJ
easy,NNS
butterfish,JJ
cod,NN
snowed,VBN
granny,NN
smith,NN
apples,NNS
fine,JJ
extract,NN
almond,NN
liked,VBD
doritos,NNS
four,CD
tea,RB
plan,NN
guests,NNS
halved,VBD
crystallized,VBN
homemade,JJ
constant,JJ
comment,NN
tea,NN
indian,JJ
kalami,NN
loose,JJ
leaves,VBZ
tips,JJ
watchful,JJ
eye,NN
heated,VBN
beginning,VBG
boil,NN
lowest,JJS
setting,VBG
keeping,VBG
cover,JJ
past,IN
remove,NN
tea,JJ
steep,VB
easy,VBP
straining,VBG
papper,JJ
coffee,NN
filter,NN
mesh,JJ
strainer,NN
basket,NN
set,VBN
bowl,NN
jug,NN
catch,NN
leaf,NN
ahead,RB
potato,JJ
eveyone,NN
oh,UH
goodness,NN
soooo,RB
cheesecake,NN
traveling,VBG
across,IN
country,NN
wished,VBD
put,VB
tart,NN
pudding,VBG
lover,WDT
suffered,VBD
microwave,NN
raisins,VBZ
cinnamon,NN
nutmeg,NN
know,JJ
glad,JJ
hit,VB
spot,NN
margarine,NN
baked,JJ
babies,NNS
parchment,JJ
paper,NN
cookie,JJ
sheet,NN
originally,RB
meant,VBD
hostess,JJ
gift,NN
part,NN
bisquick,JJ
worked,VBD
loaf,JJ
fix,NN
despite,IN
bell,NN
pinch,JJ
salt,NN
sauteed,VBD
looked,VBD
regularly,RB
roasted,VBN
felt,NNS
bland,VBP
raved,VBD
either,RB
cajun,NN
give,VBP
cheer,NN
sick,JJ
mind,NN
ice,NN
sublime,NN
wanted,VBN
love,NN
expected,VBN
overnight,JJ
soak,NN
helpful,VB
marinated,JJ
steaks,NNS
stillthought,NN
stood,VB
vague,JJ
unclear,JJ
cut,NN
finally,RB
decided,VBN
upon,IN
sirloin,NN
method,NN
grilling,VBG
panfrying,VBG
tbsp,JJ
might,MD
alterations,NNS
crockpot,JJ
went,VBD
home,RB
ready,JJ
carrots,VBP
milk,RBR
pepper,JJ
fillings,NNS
sour,JJ
adds,VBZ
bergy,VBP
enjoyed,VBN
economical,JJ
whole,NN
meatballs,NNS
terrific,JJ
tip,NN
sure,JJ
grate,NN
fine,VBP
want,NN
disappear,VBP
rated,VBD
stars,NNS
go,VBP
serve,NN
additional,JJ
spices,NNS
nutmeg,VBP
etc,VBP
tastes,NNS
garden,NN
restaurant,NN
quality,NN
incredibly,RB
consuming,VBG
called,VBN
cheesy,NN
red,VBD
lasagna,NN
italian,JJ
silver,JJ
dollar,NN
sized,VBD
needs,NNS
fish,NN
cook,NN
halibut,NN
filets,NNS
middle,JJ
eastern,JJ
coriander,NN
bunch,NN
celery,VBP
pureed,JJ
immersion,NN
blender,NN
heating,NN
meatloaf,NN
half,JJ
spectacular,JJ
meatloafs,NNS
total,JJ
spread,NN
meatloafs,NN
save,VBP
cheryl,VBP
suggests,NNS
pizza,NN
husband,JJ
eater,NN
ate,NN
know,NNP
indeed,RB
moist,VBP
bananas,VB
tsp,NN
banana,NN
extract,JJ
muffins,VBZ
allow,VB
bit,NN
pan,JJ
smelled,VBD
tried,NNS
take,VBP
warm,JJ
loaf,NN
split,VBD
tender,NN
dug,NN
anyway,RB
exactly,RB
tbsp,NN
dry,JJ
tasted,VBN
creamy,NN
hoped,VBD
cups,NNS
suggested,VBD
author,NN
update,JJ
result,NN
smoother,JJR
creamier,JJR
ingredient,JJ
mix,JJ
miniature,NN
rich,JJ
mini,FW
melt,VBD
stir,JJ
unsweetened,JJ
dutch,JJ
process,NN
sort,NN
mexican,JJ
style,NN
muffins,NNS
wonderful,WRB
sugar,JJ
tops,NNS
warm,NN
delicious,NN
yesterday,NN
anniversary,VBP
cake,JJ
hubby,NN
make,JJ
tradition,NN
recipezaar,JJ
glad,VBD
picked,VBD
fixed,VBN
steak,NN
med,VBN
rare,JJ
min,JJ
sherry,JJ
sections,NNS
didnt,VBP
grapefruit,NN
pounded,VBD
become,VBN
favorite,NN
cup,JJ
almond,JJ
coconut,NN
sublimely,RB
tropic,JJ
noshed,VBN
barb,NN
desserts,VBZ
around,IN
thanks,RB
reminding,VBG
fine,NN
start,VBP
finish,VB
lot,RB
fast,RB
tortilla,NN
doritos,VBP
bouillon,NN
cube,NN
flavored,VBD
high,JJ
dried,VBD
rosemary,JJ
poppy,JJ
nice,VB
plain,RB
unique,JJ
oddly,RB
cheesey,JJ
bleu,IN
completely,RB
disappeared,VBD
child,NN
card,NN
carrying,VBG
bleu,JJ
haters,NNS
realize,VBP
hint,NN
port,NN
wine,NN
light,JJ
rose,VBD
machine,NN
average,JJ
bread,VBP
recommends,VBZ
breads,NNS
tablespoons,NNS
extra,VBP
flour,JJ
mixing,VBG
dough,RB
wet,JJ
happens,NNS
many,JJ
try,VBP
helpings,NNS
sometimes,RB
including,VBG
dh,JJ
pecans,NNS
husband,VBP
liked,VBN
teaspoons,NNS
squeezed,VBD
stops,NNS
guacamole,VBP
brown,IN
worry,VBP
storing,VBG
container,NN
heard,VBD
burying,VBG
pits,NNS
guac,JJ
grated,VBD
minced,JJ
addition,NN
condensed,VBD
nights,NNS
rushing,VBG
home,NN
liked,JJ
golden,JJ
ones,NNS
min,NN
drained,VBD
must,MD
say,VB
work,VBP
alot,JJ
gooey,NN
three,CD
erin,JJ
concoctions,NNS
far,RB
best,RBS
nothing,NN
improvement,NN
thought,RB
prepare,NN
fluffy,JJ
cared,VBN
hence,RB
saw,JJ
cover,NN
f,NN
w,NN
decided,VBD
past,JJ
erin,NN
posted,VBD
agree,JJ
b,NNS
meece,VBP
frosting,NN
throwing,VBG
away,RB
manadrin,JJ
yum,NNS
effort,NN
thicken,NN
soft,JJ
cookie,NN
understatement,JJ
hit,VBD
lime,NN
locally,RB
grilled,VBD
outside,JJ
bbq,NN
seasoned,VBD
couscous,JJ
salad,NN
yummy,NN
beat,VBP
egg,NN
whites,NNS
separately,RB
get,VBP
fluffier,JJR
servings,NNS
complete,JJ
superbowl,NN
sunday,JJ
kid,VB
slumber,NNP
suggest,VB
plastic,NN
wrap,NN
coated,VBD
nonstick,JJ
thaw,NN
outer,NN
along,IN
leftover,RB
chicken,VBN
canned,VBN
live,VBP
tomato,NN
tasted,VBD
tomorrow,NN
snack,RB
superbowl,VBP
savory,NN
type,JJ
dips,NNS
whip,NN
lighten,JJ
ate,JJ
graham,NN
crackers,NNS
extremely,RB
super,JJ
light,NN
lemon,NNS
grandaughter,NN
soon,RB
mixes,NNS
super,NN
overwhelming,VBG
wings,NNS
greatest,JJS
milder,RBR
longer,JJR
indicated,VBD
popped,VBD
potatoes,JJ
liking,VBG
zest,JJS
lemon,NN
perhaps,RB
needed,VBN
reviews,NNS
stellar,JJ
closer,JJR
care,VBP
large,JJ
sits,VBZ
calories,NNS
made,RB
ambrosia,JJ
mayonnaise,NN
wing,VBG
bergy,NN
deserves,NNS
rating,NN
stew,NN
chef,NN
sold,VBD
mine,JJ
put,VBN
frige,NN
except,IN
marvelous,JJ
smoothie,NN
addict,NN
peaches,NNS
peach,VBP
intense,NN
recipe,RB
diabetic,JJ
meal,JJ
browned,VBN
sausage,NN
transferred,VBD
skillet,VB
broiler,NN
salsa,JJ
spice,RB
keeper,NNP
inez,JJ
oregano,VB
stuffed,VB
meatloaf,VBP
etc,RB
printed,VBD
file,NN
ann,VBP
refreshing,VBG
fruits,NNS
yogurt,VBP
match,NN
bob,NNS
evans,NNS
recommended,VBD
touch,RB
bake,VB
suggested,VBN
description,NN
scant,JJ
orangey,NN
wow,JJ
appearance,NN
puff,NN
nicely,RB
bumpy,JJ
careful,JJ
mixing,NN
wonderful,NNS
crusty,JJ
slice,NN
sop,VB
keeper,JJR
frozed,VBN
shrimp,NN
beautiful,JJ
snowpeas,JJ
chestnuts,NNS
almost,RB
find,NNS
pizza,JJ
come,VB
room,NN
temperature,NN
seems,VBZ
oven,JJ
dessert,NN
wee,NN
vanilla,JJ
delightful,JJ
dessert,JJ
worldwide,JJ
recipezaar,NN
steel,NN
knife,NNS
remaining,VBG
declared,VBD
enough,JJ
take,JJ
butter,RB
maple,VBP
syrup,NNS
sinfully,RB
head,NN
boy,JJ
pick,JJ
fries,NNS
mashed,VBN
anything,NN
happy,JJ
healthy,JJ
wilz,JJ
quiche,NN
create,NN
crust,NN
soggy,JJ
bacon,JJ
reason,NN
less,RBR
fatty,JJ
crustier,NN
sure,NN
delicious,VB
based,VBN
yummy,JJ
ideal,VB
muffin,NN
grams,JJ
bittersweet,NN
combo,NN
chocolate,VBP
baking,NN
flavors,NNS
commented,VBD
zucchini,NN
mine,NN
smaller,JJR
filled,VBN
finish,JJ
lamb,NN
chops,NNS
chicken,VBP
recipe,NNS
crockpot,NN
february,JJ
assumes,RB
knows,VBZ
roast,VBP
garlic,NN
mess,VB
otherwise,RB
fortunately,RB
roast,JJ
swedish,JJ
rykrisp,NN
rise,NN
trying,VBG
kill,NN
supposed,VBD
heavy,JJ
tells,VBZ
matter,NN
stuffed,NN
weight,VBD
mousse,NN
groaned,VBD
prospect,JJ
inhaled,VBN
spoonful,NN
subbing,VBG
cow,NN
compliments,NNS
dh,NN
hates,VBZ
spinach,VBP
else,JJ
ranch,NN
wonderful,NN
appetizer,JJ
feed,NN
people,NNS
unfortunately,JJ
test,VBP
theory,NN
meatloaf,JJ
placing,VBG
well,NN
fattoosh,VBD
times,NNS
restaurants,NNS
polly,RB
mmmmmmm,NN
baked,VBD
banana,JJ
appetizer,IN
scot,NN
bite,RB
watched,JJ
eyes,NNS
glaze,VBP
nostalgia,JJ
mace,NN
paprika,RB
miller,NN
grocery,NN
shopping,NN
turnips,NNS
parsnips,NNS
ended,VBN
stew,JJ
peoplle,NN
knew,VBD
existed,VBN
loved,JJ
called,VBD
onto,IN
list,NN
recipes,VBZ
terrific,NN
cappuccino,NN
marshmallows,VBZ
definatly,RB
worried,JJ
amaretto,NN
liqueur,NN
tasting,VBG
subbed,JJ
marg,NN
start,JJ
awww,NNS
breaks,NNS
heart,NN
lol,NN
better,RB
pineapple,JJ
upside,JJ
keep,NN
handy,JJ
diana,VBP
muffin,JJ
bonus,RB
right,RB
eaten,VB
firm,JJ
biscuit,NN
bean,NN
flaky,JJ
buttery,NN
zaar,NN
incredible,JJ
truely,RB
comfort,JJ
simple,NNS
computer,NN
noon,NN
pm,NN
coming,VBG
simple,JJ
pleasure,JJ
saturday,JJ
breasts,VBZ
applesauce,VBP
cooked,VBN
drink,VBP
ladies,NNS
luncheon,VBP
company,NN
consulting,VBG
poster,NN
health,NN
related,JJ
substitutions,NNS
request,NN
lowfat,JJ
lower,JJR
choices,NNS
imagine,VB
deemed,VBD
seconds,VBZ
sherry,NN
drinking,NN
authentic,JJ
searching,VBG
recipe,VBZ
international,JJ
festival,NN
pleasantly,RB
surpised,VBN
serve,VB
caramelly,RB
twist,NN
course,NN
cooks,NN
ripened,VBN
bananas,NNS
held,VBD
shape,NN
melts,JJ
gets,VBZ
gooey,JJ
learned,VBN
queijo,NN
de,IN
mantiega,FW
find,VBP
area,NN
acceptable,JJ
choice,NN
moist,JJ
pleasant,JJ
less,JJR
approximately,RB
reasons,NNS
produced,VBN
crisp,JJ
sharlene,NN
soooo,NN
karen,NNS
erin,NNS
cheesecake,VBP
delcious,JJ
definite,JJ
marmalade,VBD
overpowering,VBG
adore,RB
surprised,JJ
batter,NN
lovely,JJ
plate,NN
select,VB
filling,NN
star,NN
ooohh,IN
chocolaty,NN
give,VB
thank,JJ
inez,NN
pay,NN
attention,NN
measurements,NNS
yellow,NN
handful,VBP
chickpeas,NNS
mild,JJ
salsa,NNS
cumin,JJ
opinion,NN
tastebuds,NN
former,JJ
yorker,NN
remember,VB
childhood,NN
proportions,NNS
soda,NN
fountain,NN
restoring,VBG
memory,NN
substitute,VB
hershey,JJ
kind,NN
comes,VBZ
squeeze,JJ
bottle,NN
squeeze,NN
thin,NN
looks,VBZ
halved,JJ
minute,NN
broiling,VBG
showed,VBD
batch,JJ
entered,VBD
perfect,VBP
weekday,JJ
wheat,NN
side,VBP
salad,JJ
lorac,VBP
fish,JJ
flaky,NN
tomatoes,NNS
finished,VBN
stove,NN
done,VBN
put,NN
eat,VBP
easy,RB
rocks,NNS
prompted,VBD
check,NN
wary,JJ
content,NN
usrda,JJ
drinkers,NNS
coke,NN
chicken,RB
fighting,VBG
skin,JJ
wish,JJ
legs,RB
crispy,JJ
poor,JJ
fate,NN
whose,WP$
sara,NN
requested,VBD
sarah,NN
list,JJ
delightfully,RB
lemony,JJ
crumb,NN
devoured,VBD
member,NN
scale,NN
measure,NN
ingredients,VBZ
measuring,VBG
various,JJ
weight,NN
side,RB
etc,FW
jan,VBP
btw,IN
renaming,VBG
hope,VBP
mind,IN
losing,VBG
h,NN
gee,NN
help,NN
crunchy,NN
outside,IN
grandkids,NNS
passover,NN
fat,NN
egg,RB
yolks,JJ
rave,JJ
icing,NN
powdered,VBD
guess,JJ
problem,NN
meringue,NN
befor,NNS
liquid,NN
happened,VBD
whipped,VBD
fabulous,JJ
dip,JJ
help,VBP
scarff,VB
topped,VBD
scoop,JJ
personal,JJ
preference,NN
definaltely,RB
assembled,VBN
topping,NN
deli,NNS
corned,VBD
garnished,VBD
chopping,VBG
cauliflower,NN
fridge,NN
lentils,VBZ
fav,NN
dont,VBP
trouble,NN
worth,JJ
saw,VBD
knew,NN
candy,NN
buy,VBP
margarine,JJ
crisco,NN
paraffin,JJ
wax,RB
chewy,NN
usual,JJ
cause,NN
tacos,RB
enough,VB
fed,NN
john,NN
stove,VB
handy,NN
bowls,NN
either,CC
seseme,NN
seed,NN
buns,NNS
broiled,JJ
served,JJ
movie,NN
eat,JJ
crab,NN
alaska,JJ
pollack,NN
baguette,NN
round,NN
spread,VBP
sprinkling,VBG
dill,NN
tidbits,NNS
practically,RB
inhaled,JJ
club,NN
ripe,JJ
olives,NNS
supper,JJR
outside,RB
says,VBZ
tish,JJ
dare,NN
call,NN
absurd,NN
mozzerella,JJ
parmesan,NNS
dusting,VBG
printed,VBN
month,NN
frostings,NNS
debe,RB
worth,VB
marshmallow,NN
frosting,VBG
chocolate,JJ
cool,NN
atop,JJ
debe,NN
scallops,NNS
eating,JJ
quarter,NN
lasagna,VBD
lasagna,JJ
like,VB
linguine,NN
tasting,NN
warmed,VBD
yogurt,RB
ole,JJ
hubby,VBP
pepperoni,NN
definitely,JJ
charlotte,VBP
sprinkled,VBD
basil,JJ
parsley,NN
alternative,JJ
rouladen,NN
deviled,VBD
substituted,VBN
broth,NN
gravy,JJ
forward,RB
honey,NN
mustard,NN
bellpepper,RP
thickened,VBD
sauce,JJ
cornstarch,NN
bellpepper,NN
top,NN
bed,NN
mayo,NN
preparing,VBG
sister,NN
visiting,VBG
son,NN
asking,VBG
jen,NNS
tend,VBP
rub,NN
dipped,VBD
dipping,NN
site,NN
served,VBN
sauted,VBD
breast,NN
flavor,JJ
putting,VBG
dana,VBP
molasses,VBZ
best,IN
inside,IN
edges,NNS
