place,bag,new bag,rating,review num
Zhongshan Mall (Singapore),"ramada hotel,balestier area,food court","ramada hotel,balestier area,food court",3.5,50
Woodlands (Singapore),"johor bahru,malaysia","johor bahru,malaysia",3.5,53
Bras Basah Complex (Singapore),"shopping complex,chinese books,national library,shops selling,bookshop,art","shopping complex,chinese books,national library,shops selling,bookshop,art",3.5,53
Omni-Theatre by Science Centre Singapore,"snow city,nature","snow city,nature",3.5,54
Bedok Mall (Singapore),"bus interchange,f b,shopping","bus interchange,f b,shopping",3.5,56
Aramsa ~ The Garden Spa (Singapore),"massage and facial,greenery","massage and facial,greenery",3.5,56
J-Cube Mall (Singapore),"jurong,ntuc","jurong,ntuc",3.5,60
SATS Premier Lounge (Singapore),"priority pass,changi airport,comfortable lounge","priority pass,changi airport,comfortable lounge",3.5,61
SATS Premier Lounge (Singapore),"laksa,gold lounge,lounge access,western food,singapore airlines,krisflyer,changi,transit,longe","laksa,gold lounge,lounge access,western food,singapore airlines,krisflyer,changi,transit,longe",3.5,61
SATS Premier Lounge (Singapore),"large lounge,couple of hours","large lounge,couple of hours",3.5,61
112 Katong (Singapore),"toast box,nice shopping mall","toast box,nice shopping mall",3.5,66
Horizon Fast Ferry (Singapore),"harbour bay,business class,priority queue,reach batam,nagoya city,book tickets,money changer,pax,sg,mall","harbour bay,business class,priority queue,reach batam,nagoya city,book tickets,money changer,pax,sg,mall",3.5,67
Padang (Singapore),"chicken club,singapore river,charter","chicken club,singapore river,charter",3.5,75
The Centrepoint (Singapore),"cold storage supermarket,orchard road,centre point,shopping centre,ion orchard,landmark","cold storage supermarket,orchard road,centre point,shopping centre,ion orchard,landmark",3.5,78
Que Pasa Wine Bar &amp; Tapas (Singapore),"orchard road,shophouse","orchard road,shophouse",3.5,79
Cactus Garden (Singapore),"few hours,plants","few hours,plants",3.5,82
Orchard Gateway (Singapore),"shopping centre,signage","shopping centre,signage",3.5,84
Martini Bar at Mezza9 (Singapore),mezza9,mezza9,3.5,88
The Cat Cafe (Singapore),"entrance fee,taking photos,bugis","entrance fee,taking photos,bugis",3.5,97
"Jamae Mosque, Singapore","chinatown area,dressed appropriately,islam,muslim","chinatown area,dressed appropriately,islam,muslim",3.5,98
Raffles Landing Site (Singapore),"historical figures,asian civilisation museum,commemorates,unveiled","historical figures,asian civilisation museum,commemorates,unveiled",3.5,105
Far East Plaza (Singapore),"interesting shops,worth a visit,clothing,beauty","interesting shops,worth a visit,clothing,beauty",3.5,128
Anderson Bridge (Singapore),"fullerton hotel,singapore river,sir john,japanese occupation of singapore,national monument,formula circuit,merlion park,river cruise,arches,governor,settlement,strait,historic,vehicle,citizens,quay,century,","fullerton hotel,singapore river,sir john,japanese occupation of singapore,national monument,formula circuit,merlion park,river cruise,arches,governor,settlement,strait,historic,vehicle,citizens,quay,century,",3.5,132
Singapore Cruise Centre,"ship,disembarking,malaysia,land,bay","ship,disembarking,malaysia,land,bay",3.5,144
Zouk (Singapore),clarke quay,clarke quay,3.5,160
Marina Bay Cruise Centre (Singapore),"covered walkway,mrt station,mind boggling,seas,ship,voyage,taxis,genting,disembarked,acrobats,snaking,shore,performance,indian","covered walkway,mrt station,mind boggling,seas,ship,voyage,taxis,genting,disembarked,acrobats,snaking,shore,performance,indian",3.5,171
Little India Arcade (Singapore),"lots of shops,great place to visit,henna,bangles,incense,souvenirs,clothing,stalls,apparel,tourists,mrt","lots of shops,great place to visit,henna,bangles,incense,souvenirs,clothing,stalls,apparel,tourists,mrt",3.5,172
Yunomori Onsen &amp; Spa (Singapore),"thai massage,cold bath,resting room,rest area,locker area,service staff,ginger tea,foot massage,f b,silk,kallang,therapist,minerals,promotion,recharge,user,shoes,branch,mall","thai massage,cold bath,resting room,rest area,locker area,service staff,ginger tea,foot massage,f b,silk,kallang,therapist,minerals,promotion,recharge,user,shoes,branch,mall",3.5,174
Tanah Merah Ferry Terminal (Singapore),"tanjung pinang,return ticket,harbourfront,lounge,ship,ticketing","tanjung pinang,return ticket,harbourfront,lounge,ship,ticketing",3.5,178
Funan (Singapore),"rock climbing,cycling track,shopping mall,city hall mrt station,f b,food court,gadgets,electronic,camera,technology,rebuilding,rooftop,cinema,clothing","rock climbing,cycling track,shopping mall,city hall mrt station,f b,food court,gadgets,electronic,camera,technology,rebuilding,rooftop,cinema,clothing",3.5,209
Dnata Lounge (Singapore),"nice lounge,comfortable armchairs,singapore changi airport","nice lounge,comfortable armchairs,singapore changi airport",3.5,237
Red Dot Design Museum (Singapore),"marina bay,walk around,exhibits,technology,material","marina bay,walk around,exhibits,technology,material",3.5,238
Statue of Raffles (Singapore),"boat quay,nice statue,british empire,skyscrapers,century","boat quay,nice statue,british empire,skyscrapers,century",3.5,276
Gogreen Segway Eco Adventure (Sentosa Island),"training session,fun,30min","training session,fun,30min",3.5,293
IMM Outlet Mall (Singapore),"jurong east,bakso,branded goods,michael kors,kate spade,huge discount,major brands,designer shops,cheap price,orchard road,high end,worth a visit,nike,shoes,jem,westgate,puma,shopping,mrt,furla","jurong east,bakso,branded goods,michael kors,kate spade,huge discount,major brands,designer shops,cheap price,orchard road,high end,worth a visit,nike,shoes,jem,westgate,puma,shopping,mrt,furla",3.5,345
Kinki Restaurant + Bar (Singapore),"rooftop bar,maki,japanese food,nice ambience,marina bay,genki,mbs,cbd","rooftop bar,maki,japanese food,nice ambience,marina bay,genki,mbs,cbd",3.5,462
Sentosa 4D Adventureland (Sentosa Island),"extreme log ride,mysterious island,shooting,movie,shows,theme","extreme log ride,mysterious island,shooting,movie,shows,theme",3.5,477
KidZania Singapore (Sentosa Island),"role play,cabin crew,earn money,bank account,kids learn,kids aged,food options,pilot,jobs,kfc,fireman,occupation,yakult,earning,clues,lanyard,activating","role play,cabin crew,earn money,bank account,kids learn,kids aged,food options,pilot,jobs,kfc,fireman,occupation,yakult,earning,clues,lanyard,activating",3.5,561
Fountain of Wealth (Singapore),"suntec city,feng shui,unity,equality,hindu,symbol,bronze,chinese","suntec city,feng shui,unity,equality,hindu,symbol,bronze,chinese",3.5,648
Marina Bay Sands Casino (Singapore),"huge casino,mbs casino,non smoking floor,free entry,baccarat,sentosa","huge casino,mbs casino,non smoking floor,free entry,baccarat,sentosa",3.5,1286
Long Bar (Singapore),"singapore sling,raffles hotel,shells on the floor,monkey nuts,peanut shells,free peanuts,bucket list,famous bar,drinks are expensive,step back in time,visiting singapore,birthplace","singapore sling,raffles hotel,shells on the floor,monkey nuts,peanut shells,free peanuts,bucket list,famous bar,drinks are expensive,step back in time,visiting singapore,birthplace",3.5,2999
Jubilee Walk (Singapore),"national museum of singapore,fort canning park,independence,bay","national museum of singapore,fort canning park,independence,bay",4,7
Singapore River,"clarke quay,boat ride,fullerton hotel,different perspective,merlion park,marina bay sands,nice walk,laser show,light show,cruise,boats,sights,stroll,bum,commentary,skyscrapers,tourists,statue,skyline,heat","clarke quay,boat ride,fullerton hotel,different perspective,merlion park,marina bay sands,nice walk,laser show,light show,cruise,boats,sights,stroll,bum,commentary,skyscrapers,tourists,statue,skyline,heat",4,9
Fort Canning Arts Centre (Singapore),"immersive experience,pathfinder,centennial,exhibits,tickets","immersive experience,pathfinder,centennial,exhibits,tickets",4,9
Littered With Books (Singapore),bookshop,bookshop,4,13
Brass Lion Distillery (Singapore),"gin making,school,concept","gin making,school,concept",4,14
Luxury Coach Services (Singapore),"coach bus,reliable service,company,driver","coach bus,reliable service,company,driver",4,17
Singapore Sports Hub,"food court,stadium,track","food court,stadium,track",4,18
Kranji Countryside (Singapore),"fish farm,qian,fishing","fish farm,qian,fishing",4,18
Lorong Halus Wetland (Singapore),"wetlands,lrt,bridge,park,nature","wetlands,lrt,bridge,park,nature",4,19
Yang Xin Dian Foot Reflexology (Singapore),"body massage,knots,masseuse,skills,session","body massage,knots,masseuse,skills,session",4,21
Singapore Wake Park,"east coast,great place to chill","east coast,great place to chill",4,22
Gardens Shop (Singapore),tanglin gate,tanglin gate,4,22
Lower Seletar Reservoir (Singapore),"information panels,park connector,fishing,heritage,bridge,suntec,trees,bay","information panels,park connector,fishing,heritage,bridge,suntec,trees,bay",4,28
SuperPark Singapore,"rock climbing,trampoline,ninja,skate,lockers,obstacles,purchase","rock climbing,trampoline,ninja,skate,lockers,obstacles,purchase",4,29
Marine Parade Market (Singapore),"food court,stalls","food court,stalls",4,29
Kampong Buangkok (Singapore),plants,plants,4,30
"Church of the Sacred Heart, Singapore","mass,viewed,photos","mass,viewed,photos",4,31
Coney Island Park (Singapore),"east entrance,nature walk,covered shoes,bird watching,wear long pants,main path,nature photography,love nature,avoid the crowds,settlement,serangoon,bike,waves,monkeys,trail,interchange,greenery,,,","east entrance,nature walk,covered shoes,bird watching,wear long pants,main path,nature photography,love nature,avoid the crowds,settlement,serangoon,bike,waves,monkeys,trail,interchange,greenery,,,",4,33
Coney Island Park (Singapore),"east entrance,photo taking,settlement,serangoon,palau,nature,bridge,birds","east entrance,photo taking,settlement,serangoon,palau,nature,bridge,birds",4,33
"Japanese Cemetery Park, Singapore",history,history,4,34
Katong Antique House (Singapore),"peranakan culture,holy family,ancestors,strait,clothing,history,museum","peranakan culture,holy family,ancestors,strait,clothing,history,museum",4,34
The Green Corridor (Singapore),"bukit timah,flowering plants,mrt station,track,pipeline,12km,paths,nature,mosque","bukit timah,flowering plants,mrt station,track,pipeline,12km,paths,nature,mosque",4,36
Little Guilin (Singapore),"granite quarry,park,scenic","granite quarry,park,scenic",4,36
House of Tan Teng Niah (Singapore),"chinese villa,little india,serangoon road,colorful,architecture,temple","chinese villa,little india,serangoon road,colorful,architecture,temple",4,36
"The Church Of Our Lady Of Lourdes, Singapore","mass,ophir,mrt","mass,ophir,mrt",4,36
"Hajjah Fatimah Mosque, Singapore","sandy soil,leaning tower,kampong glam,minaret,wealthy","sandy soil,leaning tower,kampong glam,minaret,wealthy",4,36
Singapore Maritime Gallery,"ships,shipping,ferry,development,simulation,model,bridge","ships,shipping,ferry,development,simulation,model,bridge",4,38
Admiralty Park (Singapore),"eco trail,secondary forest,community development,mangrove swamp,roller,playground,cina,council,exploration,paths,meditation,nature,squirrels,longest,species","eco trail,secondary forest,community development,mangrove swamp,roller,playground,cina,council,exploration,paths,meditation,nature,squirrels,longest,species",4,38
Imbiah Lookout (Sentosa Island),"nature walk,insect kingdom,cable car,tussauds,rainforest,adventureland,attractions,sentosa,singapore","nature walk,insect kingdom,cable car,tussauds,rainforest,adventureland,attractions,sentosa,singapore",4,39
"Church of Saints Peter and Paul, Singapore","mass,catholic,cantonese,mandarin,prayer","mass,catholic,cantonese,mandarin,prayer",4,40
Sembawang Park (Singapore),"beaulieu house,family picnic,mrt station,johor,shipyard,fishing,malaysia,strait,greenery,outing,visitors","beaulieu house,family picnic,mrt station,johor,shipyard,fishing,malaysia,strait,greenery,outing,visitors",4,41
Willow Stream Spa (Singapore),"hospitality service,treatment room,therapist,facial,knots","hospitality service,treatment room,therapist,facial,knots",4,41
Sengkang Swimming Complex (Singapore),120cm,120cm,4,43
Okdodoo (Singapore),"musical box,music boxes,magical experience,workshop,hui,ornaments,participants,therapeutic,guiding,sg","musical box,music boxes,magical experience,workshop,hui,ornaments,participants,therapeutic,guiding,sg",4,43
United Square Shopping Mall (Singapore),"cold storage,school,fencing,classes,play","cold storage,school,fencing,classes,play",4,44
Woodlands Waterfront Park (Singapore),"johor bahru,road west,seafood restaurant,large playground,mrt station,satay,causeway,admiralty,rasa,malaysia,strait,picnic,fishing,greenery,istimewa,nature","johor bahru,road west,seafood restaurant,large playground,mrt station,satay,causeway,admiralty,rasa,malaysia,strait,picnic,fishing,greenery,istimewa,nature",4,45
Sembawang Hot Spring (Singapore),"spring park,gambas,nearest carpark,army camp,eating house,egg cooking station,mrt station,pang,sulphur,blk,hdb,chong,footbath,stream,authorities,shelter,path,plants,fountain,collection","spring park,gambas,nearest carpark,army camp,eating house,egg cooking station,mrt station,pang,sulphur,blk,hdb,chong,footbath,stream,authorities,shelter,path,plants,fountain,collection",4,46
"Temple of 1,000 Lights (Sakya Muni Buddha Gaya), Singapore","altar,devotees,buddhist,admission","altar,devotees,buddhist,admission",4,47
Temple Street (Singapore),"shop houses,chinatown area,chinese culture,food stalls,murals,mrt","shop houses,chinatown area,chinese culture,food stalls,murals,mrt",4,48
Palate Sensations Cooking School Day Classes (Singapore),"participants,instructor","participants,instructor",4,49
Changi Point Boardwalk (Singapore),"board walk,sailing club,civil service,pulau ubin,boardwalk starts,high tide,peaceful walk,fishing,loyang,coastline,skiing,boats,meander,kelong,hawker,parts","board walk,sailing club,civil service,pulau ubin,boardwalk starts,high tide,peaceful walk,fishing,loyang,coastline,skiing,boats,meander,kelong,hawker,parts",4,51
Waterway Point (Singapore),"bakso,ntuc,shaw,cinema,mall,shop,mrt","bakso,ntuc,shaw,cinema,mall,shop,mrt",4,53
Punggol Waterway Park (Singapore),"loop,parts","loop,parts",4,54
"Masjid Abdul Gafoor, Singapore","dunlop street,beautiful mosque,national monument,little india,prophet,rays,ornate","dunlop street,beautiful mosque,national monument,little india,prophet,rays,ornate",4,54
Tampines Mall (Singapore),"mrt station,century,ntuc,shopping,interchange","mrt station,century,ntuc,shopping,interchange",4,54
Bedok Reservoir Park (Singapore),"forest adventure,berlin wall,early morning or evening,nature walk,joggers,fishing,loop,stamina,zip,practicing,trees,benches,playground,squirrels,path","forest adventure,berlin wall,early morning or evening,nature walk,joggers,fishing,loop,stamina,zip,practicing,trees,benches,playground,squirrels,path",4,55
Punggol Park (Singapore),"hdb flats,mrt station,serangoon,playground,loop,path","hdb flats,mrt station,serangoon,playground,loop,path",4,56
China Square Central (Singapore),shopping centre,shopping centre,4,57
Singapore Indoor Stadium,"concert,mrt","concert,mrt",4,59
Gillman Barracks (Singapore),"mixed media,galleries,art,landscape,abstract","mixed media,galleries,art,landscape,abstract",4,59
"Civil Defence Heritage Gallery, Singapore","fire station,free museum,great museum,engine,exhibits,history,mission,techniques","fire station,free museum,great museum,engine,exhibits,history,mission,techniques",4,61
Kent Ridge Park (Singapore),"canopy walk,buona vista,pasir panjang,mountain bike,tall trees,marker,forest,path,greenery,climb,picnic,flowers","canopy walk,buona vista,pasir panjang,mountain bike,tall trees,marker,forest,path,greenery,climb,picnic,flowers",4,61
Meomi Cat Cafe,"cat cafe,loves cats,visitors","cat cafe,loves cats,visitors",4,63
"Air Force Museum, Singapore","gallery,simulation","gallery,simulation",4,64
City Link Mall (Singapore),"mrt stations,esplanade theater,shop","mrt stations,esplanade theater,shop",4,64
The Arts House (Singapore),"parliament building,chamber,exhibition,government,artists,performance","parliament building,chamber,exhibition,government,artists,performance",4,65
"Hill Street Building, Singapore","national monument,fire station,clarke quay,art installations,singapore river,shutters,ministry,government,colorful,jail,information","national monument,fire station,clarke quay,art installations,singapore river,shutters,ministry,government,colorful,jail,information",4,66
Liang Court (Singapore),"food court,uniqlo,meidi","food court,uniqlo,meidi",4,67
Esplanade,"concert hall,outdoor theatre,free performances,singapore river,durian,arts,acoustics,library,bay,architecture,stroll,sg","concert hall,outdoor theatre,free performances,singapore river,durian,arts,acoustics,library,bay,architecture,stroll,sg",4,73
Esplanade Bridge (Singapore),"merlion park,singapore river,art","merlion park,singapore river,art",4,73
Elgin Bridge (Singapore),"singapore river,boat quay,vehicle","singapore river,boat quay,vehicle",4,74
Bukit Batok Nature Park (Singapore),"war memorial,old quarry,monitor lizards,meeting point,war dead,birds including,water fountain,path,squirrels,wildlife,undergrowth,visitors,trees,terrapins,murdered,allied,fought,diversity,ww2","war memorial,old quarry,monitor lizards,meeting point,war dead,birds including,water fountain,path,squirrels,wildlife,undergrowth,visitors,trees,terrapins,murdered,allied,fought,diversity,ww2",4,75
"Old Supreme Court Building, Singapore",architecture,architecture,4,75
Boon Tat St (Singapore),"satay street,satay sticks,plastic tables,singapore street food,mutton,hawker market,cuisine,tourists,indian","satay street,satay sticks,plastic tables,singapore street food,mutton,hawker market,cuisine,tourists,indian",4,77
Acid Bar (Singapore),"great place to chill,truffle fries,great ambience","great place to chill,truffle fries,great ambience",4,77
Raffles Place Skyscraper Buildings (Singapore),skyscrapers,skyscrapers,4,78
Jubilee Bridge (Singapore),"merlion park,singapore river,marina bay sands,state funeral,mr lee kuan yew,famous merlion,art science museum,independence,esplanade,skyline,curve,spans,sg50,photographs,constructed,tourists,mbs","merlion park,singapore river,marina bay sands,state funeral,mr lee kuan yew,famous merlion,art science museum,independence,esplanade,skyline,curve,spans,sg50,photographs,constructed,tourists,mbs",4,80
Shaw Theatres Lido Imax (Singapore),"cinema,rows,film","cinema,rows,film",4,82
Jurong Point Shopping Mall (Singapore),"boon lay mrt,food outlets,interchange,heartland","boon lay mrt,food outlets,interchange,heartland",4,83
Tanjong Pagar (Singapore),"duxton hill,maxwell food centre,shophouse,precinct,chinatown,shopping,temple,sg","duxton hill,maxwell food centre,shophouse,precinct,chinatown,shopping,temple,sg",4,86
West Coast Park (Singapore),"kite flying,adventure playground,huge playground,pasir panjang,la pizzeria,grand lawn,yachts docked,wholesale market,cycling paths,great place for a picnic,play equipment,bird sanctuary,macdonald,shipyard,,,,,,,,,,","kite flying,adventure playground,huge playground,pasir panjang,la pizzeria,grand lawn,yachts docked,wholesale market,cycling paths,great place for a picnic,play equipment,bird sanctuary,macdonald,shipyard,,,,,,,,,,",4,86
The Star Vista (Singapore),"buona vista mrt,shopping mall,church,cedele,ktv","buona vista mrt,shopping mall,church,cedele,ktv",4,89
People of the River (Singapore),"cavenagh bridge,children jumping,fullerton hotel,singapore river,statues depicting,series,merchants,art","cavenagh bridge,children jumping,fullerton hotel,singapore river,statues depicting,series,merchants,art",4,92
Westgate Shopping Mall (Jurong),"shopping mall,jurong east,west side,next door,departmental store,jem,supermarket,singapore,orchard,range,tenants,location,traffic,taxi","shopping mall,jurong east,west side,next door,departmental store,jem,supermarket,singapore,orchard,range,tenants,location,traffic,taxi",4,92
Water B (Singapore),"excellent commentary,clarke quay,marina bay,boat ride","excellent commentary,clarke quay,marina bay,boat ride",4,93
Pagoda Street (Singapore),"chinatown heritage centre,authentic chinese,opium den,sri mariamman,dens,souvenirs,shophouse,gopuram,stalls,clothing,shopping,coolie,architecture","chinatown heritage centre,authentic chinese,opium den,sri mariamman,dens,souvenirs,shophouse,gopuram,stalls,clothing,shopping,coolie,architecture",4,95
Faber Peak (Singapore),"cable car,sentosa island,southern ridges,ride","cable car,sentosa island,southern ridges,ride",4,96
Nex (Singapore),"shaw theatre,purple line,serangoon,isetan,mall,shopping,mrt,population,indian","shaw theatre,purple line,serangoon,isetan,mall,shopping,mrt,population,indian",4,98
"Sri Krishnan Temple, Singapore","waterloo street,devotees,gods,bugis,pray,tourists,architecture","waterloo street,devotees,gods,bugis,pray,tourists,architecture",4,99
Tiong Bahru Estate (Singapore),"housing estate,heritage trail,public housing,food centre,monkey god,pre war,curry rice,self guided,f b,poh,architecture,yew,blk,yip,stalls,exploration,temple,tourists,government,bird,,","housing estate,heritage trail,public housing,food centre,monkey god,pre war,curry rice,self guided,f b,poh,architecture,yew,blk,yip,stalls,exploration,temple,tourists,government,bird,,",4,100
Aeroline Service Centre Singapore,"aeroline bus,harbourfront centre,coach service,business class,before boarding the bus,return journey,safety,driver,crew,embark,lounge,mrt","aeroline bus,harbourfront centre,coach service,business class,before boarding the bus,return journey,safety,driver,crew,embark,lounge,mrt",4,100
Jem (Singapore),"jurong east mrt station,lots of shops,nice mall,departmental store,meat station,kinokuniya,robinson,ntuc,tenants,walkway","jurong east mrt station,lots of shops,nice mall,departmental store,meat station,kinokuniya,robinson,ntuc,tenants,walkway",4,100
Captivate Escape Rooms (Singapore),"puzzles,labyrinth,storyline,challenges,thematic,series,mrt","puzzles,labyrinth,storyline,challenges,thematic,series,mrt",4,101
Marina Bay Golf Course (Singapore),"driving range,pro shop,water hazards,bunker,challenges,skills,asia","driving range,pro shop,water hazards,bunker,challenges,skills,asia",4,102
Dempsey Hill (Singapore),"ps cafe,lush greenery,f b,orchard","ps cafe,lush greenery,f b,orchard",4,104
Joo Chiat/Katong (Singapore),"popiah,colorful houses,shop houses,food shops,world war ii,peranakan culture,lots of shops,shophouse,heritage,enclave,architecture,plaques,rows,ornate,conservation,route","popiah,colorful houses,shop houses,food shops,world war ii,peranakan culture,lots of shops,shophouse,heritage,enclave,architecture,plaques,rows,ornate,conservation,route",4,104
Changi City Point (Singapore),"outlet stores,branded items,food outlets,shoes,shopping","outlet stores,branded items,food outlets,shoes,shopping",4,104
Geylang Serai New Market (Singapore),"wet market,malay food,hawker centre,putu piring,nasi,mutton soup,otak otak,food centre,food court,haig,halal,stalls,pagi,indian","wet market,malay food,hawker centre,putu piring,nasi,mutton soup,otak otak,food centre,food court,haig,halal,stalls,pagi,indian",4,104
Singapore Discovery Centre,"bus tour,interactive exhibits,simulator ride,escape room,all ages,great fun,few hours,worth a visit,movie,school,knowledge,theatre,gallery,pax,activity","bus tour,interactive exhibits,simulator ride,escape room,all ages,great fun,few hours,worth a visit,movie,school,knowledge,theatre,gallery,pax,activity",4,105
The Crazy Elephant (Singapore),"clarke quay,band members,marker,graffiti","clarke quay,band members,marker,graffiti",4,105
"Central Fire Station, Singapore","heritage gallery,fort canning hill,armenian church,oldest,information,admission,treasure,route","heritage gallery,fort canning hill,armenian church,oldest,information,admission,treasure,route",4,106
Kusu Island (Singapore),"chinese temple,ferry ride,tortoise sanctuary,day trip,pilgrimage,turtles,picnic,shelter,outing,pavilions,fishing","chinese temple,ferry ride,tortoise sanctuary,day trip,pilgrimage,turtles,picnic,shelter,outing,pavilions,fishing",4,109
Sunflower Garden (Singapore),"sunflowers,transit,lounge","sunflowers,transit,lounge",4,110
"Armenian Church, Singapore",sanctuary,sanctuary,4,111
Parkway Parade (Singapore),"harvey norman,shopping centre,denki,tenants,uniqlo,esprit,foodcourt","harvey norman,shopping centre,denki,tenants,uniqlo,esprit,foodcourt",4,111
St John's Island (Singapore),"marina south pier,clear water,beautiful beach,bustling city life,day trip,bring lots of water,four hours,ferry,lazarus,fishing,picnic,sentosa,causeway,nature","marina south pier,clear water,beautiful beach,bustling city life,day trip,bring lots of water,four hours,ferry,lazarus,fishing,picnic,sentosa,causeway,nature",4,113
"City Hall Building, Singapore",national gallery,national gallery,4,113
UOB (Singapore),"salvador dali,paintings","salvador dali,paintings",4,115
Bugis+ (Singapore),"shopping mall,high end,marina bay,cinema,mrt,souvenirs,movie,maze,bridge,escalator,clothing,shoes","shopping mall,high end,marina bay,cinema,mrt,souvenirs,movie,maze,bridge,escalator,clothing,shoes",4,115
BOUNCE Singapore,fun,fun,4,116
The Tintin Shop (Singapore),"pagoda street,tin tin,merchandise,postcards,collectibles,chinatown,keychain","pagoda street,tin tin,merchandise,postcards,collectibles,chinatown,keychain",4,117
Lantern (Singapore),"rooftop bar,mbs","rooftop bar,mbs",4,117
Spiffy Dapper (Singapore),"speakeasy bar,nice ambience,coffin","speakeasy bar,nice ambience,coffin",4,117
Tangs Plaza (Singapore),"department store,food court,orchard road,beautiful store,noodles,tunas,shopping,takashimaya,gadgets,beauty","department store,food court,orchard road,beautiful store,noodles,tunas,shopping,takashimaya,gadgets,beauty",4,122
Jurong Town Hall (Jurong East),"vip,trees","vip,trees",4,122
Indian Heritage Centre (Singapore),"little india,permanent galleries,great museum,past and present,on display,couple of hours,contribution,migration,culture,communities,settlers,malaya,citizens,textiles,glimpse,artists","little india,permanent galleries,great museum,past and present,on display,couple of hours,contribution,migration,culture,communities,settlers,malaya,citizens,textiles,glimpse,artists",4,126
Geylang Serai (Singapore),"malay food,halal","malay food,halal",4,126
BRIX (Singapore),"grand hyatt,cover charge,working ladies,hotel guests,expats","grand hyatt,cover charge,working ladies,hotel guests,expats",4,130
Pasir Ris Park (Singapore),"pied hornbill,pulau ubin,the cool sea breeze,shady trees,housing estate,public transport,playground,mangroves,fishing,picnic,pony,herons,nature,ponies,gallop,scooting,expanse,coastline,paths,extinct,,,,,,","pied hornbill,pulau ubin,the cool sea breeze,shady trees,housing estate,public transport,playground,mangroves,fishing,picnic,pony,herons,nature,ponies,gallop,scooting,expanse,coastline,paths,extinct,,,,,,",4,130
Wisma Atria Shopping Centre (Singapore),"orchard road,ion,mall,saints","orchard road,ion,mall,saints",4,130
HarbourFront Centre (Singapore),"shopping mall,food court,mrt station,cruise,sentosa,bintan","shopping mall,food court,mrt station,cruise,sentosa,bintan",4,135
AEON Mall (Johor Bahru),"food choices,top level,food court,supermarket,mall,tebrau,cinema,shopping,jb,padini,fastfood,varieties,rounds,singapore","food choices,top level,food court,supermarket,mall,tebrau,cinema,shopping,jb,padini,fastfood,varieties,rounds,singapore",4,135
Orchard Central (Singapore),"shopping centre,mandarin gallery,foodcourt","shopping centre,mandarin gallery,foodcourt",4,137
Isetan Scotts (Singapore),local food,local food,4,143
