name,category,sub_category,latitude,longtitude,description,address,x_addr,y_addr,url
The Civilian War Memorial park in Singapore,history,memorials,1.29312299955432, 103.8546179998038,"Situated at the War Memorial Park in Beach Road, this memorial commemorates civilian victims of the Japanese Occupation in Singapore. The Civilian War Memorial and park in Beach Road commemorates Singapore’s civilian victims of the Japanese Occupation during World War II.",Bras Basah Road & Beach Road intersection,30370.4408,30612.5001,http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/civilian-war-memorial
Sri Veeramakaliamman Temple: Hindu Temple in Singapore,culture heritage,places of worship,1.307789999795006, 103.8525799998894,"Sri Veeramakaliamman Temple is one of Singapore’s oldest Hindu temples, in the heart of Little India. Sri Veeramakaliamman Temple is one of Singapore’s oldest Hindu temples, in the heart of Little India.",141 Serangoon Road,30143.6168,32234.2997,http://www.sriveeramakaliamman.com/
Maghain Aboth Synagogue,architecture,historical,1.298210000275319, 103.8508099997106,"The Maghain Aboth Synagogue is a gem in more ways than one, providing both a snapshot of history and a glimpse into a rich culture. The simple exterior of the Maghain Aboth Synagogue gives no indication of its richly elegant interiors.",24/26 Waterloo Street,29946.6396,31174.9912,http://www.singaporejews.com
Sultan Mosque (Masjid Sultan) Singapore,culture heritage,places of worship,1.302378999774604, 103.8591709996531,"Also known as Masjid Sultan, the impressive Sultan Mosque in historic Kampong Glam is the focal point for Singapore’s Muslim community. The impressive Sultan Mosque (also known as Masjid Sultan) in historic Kampong Glam is the focal point for Singapore’s Muslim community.",3 Muscat Street,30877.1398,31635.9857,http://www.sultanmosque.org.sg
Sri Mariamman Temple: Hindu Temple in Singapore,culture heritage,places of worship,1.282429999583023, 103.845380000402,"Located in Chinatown, the Sri Mariamman Temple dates back to 1827 and is the oldest Hindu temple in Singapore. Sri Mariamman Temple, located in Chinatown, is the oldest Hindu temple in Singapore.",244 South Bridge Road,29342.3372,29430.1166,http://heb.gov.sg/our-subsidiaries/temples/sri-mariamman-temple.aspx
Armenian Church in Singapore,culture heritage,places of worship,1.292929999846601, 103.8496599998772,The oldest Christian church in Singapore is an architectural masterpiece from the early 19th century. The Armenian Church is the oldest Christian church in Singapore and an architectural masterpiece from the early 19th century.,60 Hill Street,29818.6585,30591.1552,http://www.armeniansinasia.org/
CHIJMES Singapore,architecture,historical,1.295259999571934, 103.8516800003152,"Whether functioning as a school or a lifestyle and entertainment complex, it appears the beauty of CHIJMES is only equalled by its versatility. Who would have thought a former school would make such a graceful transition? As a lifestyle and entertainment complex, CHIJMES soars high above the rest.",30 Victoria Street,30043.4653,30848.796,http://chijmes.com.sg/
St Andrew’s Cathedral- Singapore Architecture Landmark,culture heritage,places of worship,1.292489999688758, 103.8523099996521,Singapore's largest cathedral is a stellar example of colonial-era architecture and heritage. St Andrew's Cathedral is Singapore's largest cathedral and a stellar example of colonial-era architecture and heritage.,11 St Andrew's Road,30113.581,30542.5043,http://www.livingstreams.org.sg/sac/visitors.html
ArtScience Museum Singapore,arts,museums galleries,1.286240000034866, 103.8592899998051,Catch world-class touring exhibitions at this premier exhibition space. Catch world-class touring exhibitions at the ArtScience Museum at Marina Bay Sands.,6 Bayfront Ave,30890.4018,29851.4184,http://www.marinabaysands.com/museum.html
Old Ford Factory Singapore Museum,history,history museums,1.352319999828806, 103.7688299999026,The Old Ford Factory holds an archive of memories about Singapore's wartime occupation by the Japanese. The Old Ford Factory is a repository of memories about the hardships endured during the Japanese Occupation of Singapore.,351 Upper Bukit Timah Road,20823.1487,37158.2861,http://www.nas.gov.sg/moff/Home.aspx
Singapore Coins and Notes Museum & Museum Singapore,history,history museums,1.283429999580868, 103.8445199997569,The rare collection of currencies on display here tells Singapore’s story through the money it has used over the years. The Singapore Coins and Notes Museum tells the story of Singapore through the currencies it has used over the years.,"40 Pagoda Street, Level 1",29246.6256,29540.691,http://www.singaporecoinsandnotesmuseum.com/index1.php
Singapore City Gallery,history,history museums,1.279869999607067, 103.845129999917,The Singapore City Gallery tells the story of the city’s physical transformation. The Singapore City Gallery tells the story of the city’s physical transformation.,"45 Maxwell Road, The URA Centre",29314.5154,29147.0449,http://www.ura.gov.sg/uol/citygallery.aspx
Changi Museum Singapore,history,history museums,1.362180000189094, 103.9740300003592,Changi Museum provides an emotional exploration of Singapore’s wartime history during the Japanese Occupation. Changi Museum provides an emotional exploration of Singapore’s wartime history during the Japanese Occupation.,1000 Upper Changi Road North,43659.5426,38248.9163,http://www.changimuseum.sg
MINT Museum of Toys Singapore & Toy Museum,history,history museums,1.2963100001329, 103.8543900002652,This toy museum will delight both adults and kids with the vast collection of vintage toys and memorabilia from around the world. Singapore's MINT Museum of Toys' vast collection of vintage toys will delight both kids and adults.,26 Seah Street,30345.0636,30964.9021,http://www.emint.com
"Chinese Heritage Centre, Singapore",culture heritage,heritage discovery,1.343790000147786, 103.6839800003721,The Chinese Heritage Centre in Singapore is where you can find out more about overseas Chinese communities and their culture. The Chinese Heritage Centre in Singapore is where you can find out more about overseas Chinese communities and their culture.,12 Nanyang Drive,11380.228,36215.4949,http://chc.ntu.edu.sg/
Kampong Glam & Malay Culture in Singapore,see do singapore,places to see,1.302380000203826, 103.8595000003972,"Discover Kampong Glam's rich history, living traditions, excellent eateries and trendy shops in this vibrant neighbourhood. Discover the heart of Singapore’s Malay community, living traditions, excellent eateries and trendy shops in vibrant Kampong Glam.",3 Muscat Street,30913.7547,31636.0967,http://www.kampongglam.org.sg/
Contemporary Arts Center,arts,performance arts,1.275000000181196, 103.8044999996129,"This university arts research centre explores contemporary art through exhibitions, public programmes, residencies and research programmes. The Contemporary Arts Center at the Nanyang Technological University uses a variety of medium to explore contemporary art.",43 Malan Road,24792.7192,28608.5605,http://www.ntu.ccasingapore.org/
"The Substation, Singapore Contemporary Art Centre",arts,performance arts,1.294399999873233, 103.8493400003714,This experimental arts centre gives a space for contemporary artists to try out new concepts. The Substation is an experimental arts centre that gives a space for contemporary artists to try out new concepts.,45 Armenian Street,29783.0444,30753.6999,http://www.substation.org
"Red Dot Design Museum, Singapore",arts,museums galleries,1.278280000265982, 103.8457200001546,"This museum holds more than 1,000 award-winning products, communications and concepts that will delight design fans. The Red Dot Design Museum holds more than 1,000 products and items that are winners for their good design.","28 Maxwell Road, Red Dot Traffic",29380.1786,28971.2313,http://museum.red-dot.sg
Singapore Art Museum,arts,museums galleries,1.297423999667518, 103.8510679995614,"Singapore Art Museum is Singapore’s contemporary art museum, focused on Southeast Asian contemporary art. The Singapore Art Museum houses the world’s largest public collection of contemporary Southeast Asian artworks.",71 Bras Basah Road,29975.3532,31088.0796,http://www.singaporeartmuseum.sg
Esplanade Theatres on the Bay,arts,performance arts,1.28980000039246, 103.8552800003605,Catch a non-stop line-up of world-class performances at Singapore’s premier arts centre. Esplanade Theatres on the Bay is the country’s premier arts centre as well as an iconic landmark on the city’s skyline.,1 Esplanade Drive,30444.1189,30245.0606,http://www.esplanade.com/index.jsp
"National Design Centre, Singapore",arts,museums galleries,1.298820000300156, 103.8535099999769,"The National Design Centre is the nexus for all things design. It hosts design exhibitions, events and programmes that will quicken the pulse of design lovers. The National Design Centre is a design lover’s dream destination.",111 Middle Road,30247.125,31242.4441,http://www.designsingapore.org/ndc/About_NDC.aspx
Victoria Theatre Singapore,arts,performance arts,1.28836999974564, 103.8516410000484,"After a four-year refurbishment, the Victoria Theatre and Concert Hall has since reopened, with its first official concert held there in August 2014. The historic Victoria Theatre and Concert Hall has been transformed to meet the needs of a modern audience.",11 Empress Place,30039.1304,30086.9353,https://www.nac.gov.sg/arts-spaces/nac-arts-venues
"NUS University Museum, Singapore",arts,museums galleries,1.3017749002307, 103.7726864002171,Get a deeper insight into Asian art and artefacts at this museum on the campus of the National University of Singapore. Get a deeper insight into Asian art and artefacts at NUS Museum at Singapore’s leading university.,"50 Kent Ridge Crescent, National University of Singapore",21252.1858,31569.254,http://www.nus.edu.sg/cfa/museum/
Sun Yat Sen Memorial Hall,history,memorials,1.32794999992939, 103.8469199996828,This revamped museum is a fitting tribute to the intriguing life and times of Chinese revolutionary leader Dr Sun Yat Sen. The Sun Yat Sen Memorial Hall is a fitting tribute to the intriguing life and times of Chinese revolutionary leader Dr Sun Yat Sen.,12 Tai Gin Road,29513.6993,34463.4849,http://www.sysnmh.org.sg
Asian Civilisations Museum & Singapore Museum,history,history museums,1.287384000007435, 103.8517230001114,"Housed in a historical building by the Singapore River, this museum tells the stories of Asian civilisations through its permanent collections. Housed in a historical building by the Singapore River, this museum is a microcosm of Asian civilisations spread over 11 galleries.",1 Empress Place,30048.2571,29977.9087,http://acm.org.sg/
Singapore Botanic Gardens,nature wildlife,parks gardens,1.313840000427275, 103.8159139996909,"Singapore’s oldest garden is a treasure trove for plant lovers, or those who simply want to have a good time outdoors. Singapore’s Botanic Gardens is a treasure trove for plant lovers, or those who simply want to have a good time outdoors.",1 Cluny Road,26063.0369,32903.2763,http://www.sbg.org.sg
Singapore Zoo: Attractions & Things to Do,nature wildlife,fun with animals,1.404348000156345, 103.7930230002341,"Singapore’s zoo is a beautiful, award-winning wildlife park, where animals can roam freely in their natural habitats. Catch animals in their natural habitats at the award-winning Singapore Zoo.",80 Mandai Lake Road,23515.6546,42911.2213,http://www.zoo.com.sg
River Safari Singapore,nature wildlife,fun with animals,1.403731999869567, 103.7894230001268,"At the River Safari Singapore, meet manatees and monkeys, piranhas and pandas, as they congregate in and around the park’s waters. The River Safari Singapore is a fascinating new wildlife park that recreates life in and around the world’s rivers.",80 Mandai Lake Road,23115.0226,42843.1142,http://www.riversafari.com.sg
Cable Car Singapore & Mount Faber,nature wildlife,parks gardens,1.271374599566704, 103.8192056999281,Getting to this hilltop dining and entertainment spot at Mount Faber by cable car  is half the fun. Getting to the hilltop dining and entertainment spot at Mount Faber by cable car is half the fun.,109 Mount Faber Road,26429.3455,28207.6688,http://www.mountfaber.com.sg/
"Night Safari, Singapore",nature wildlife,fun with animals,1.4021870003068, 103.7880610001379,"Instead of going to a club, pop into another popular nightspot, the Night Safari, and mingle with a different crowd of animals at this special zoo. Head to the Night Safari for an after dark visit to the weird and wonderful creatures of the night.",80 Mandai Lake Road,22963.4473,42672.2788,http://www.nightsafari.com.sg
Pulau Ubin & Singapore Islands,nature wildlife,singapore islands,1.413740900157429, 103.9592605003059,"Gravel roads, lush forests and abundant wildlife – Pulau Ubin is a living showcase of what Singapore was like in the 1960s. Hop on a bumboat to the island of Pulau Ubin if you want a taste of nature and rustic village life, away from the hustle and bustle of Singapore.",Pulau Ubin,42015.5629,43950.182,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=29&Itemid=73
Little India Singapore: History & Culture,see do singapore,places to see,1.307229999857189, 103.8498199999513,"Little India is a buzzing historic area that shows off the best of Singapore’s Indian community from vibrant culture to incredible shopping. Little India is a buzzing historic district that shows off the best of Singapore’s Indian community, from vibrant culture to ethnic-inspired shopping.",60 Bukit Timah Road,29836.4549,32172.3757,http://www.littleindia.com.sg/
"Orchard Road, Singapore: Asia's Most Famous Shopping Street",see do singapore,places to see,1.304289999610058, 103.8324899997895,"Orchard Road, Asia’s most famous shopping street, is home to fashion favourites, specialist stores and loads of other lifestyle choices. Don’t miss a trip to Orchard Road. Asia’s most famous shopping street is home to fashion favourites, specialist stores and loads of other lifestyle choices.",437 Orchard Road,27907.7867,31847.2796,http://www.orchardroad.org/
MacRitchie Singapore & Singapore Nature Reserve,nature wildlife,reserves,1.344842999558064, 103.8223460000514,"The attractions around MacRitchie Reservoir is a playground of nature for those who love the outdoors. The attractions around MacRitchie Reservoir caters to fitness fanatics, water sports enthusiasts and nature lovers.",MacRitchie Reservoir Park,26778.8722,36331.425,http://www.nparks.gov.sg/cms/macritchie.php?option=com_visitorsguide&task=naturereserves&id=49&Itemid=75
Gardens by the Bay,nature wildlife,parks gardens,1.281567999977022, 103.8636129999058,"This sprawling garden in the city provides mesmerising waterfront views across three gardens, spanning over 101 hectares of reclaimed land. Gardens by the Bay provides mesmerising waterfront views across three gardens, spanning over 101 hectares of reclaimed land.",18 Marina Gardens Drive,31371.5217,29334.818,http://www.gardensbythebay.com.sg/en/home.html
"Civic District, Singapore",see do singapore,places to see,1.293240000044277, 103.8522200000075,"The Civic District is where Singapore’s historical, architectural and cultural heritage started. The Civic District is where Singapore’s historical, architectural and cultural heritage starts.",150 North Bridge Road,30103.5641,30625.4353,
"HarbourFront, Singapore",see do singapore,places to see,1.265319999670926, 103.8205700004104,"HarbourFront is the place to go if you're hopping on a cruise from Singapore, taking a regional ferry or simply want to eat, shop or relax. HarbourFront is the place to go if you're hopping on a cruise from Singapore, taking a ferry to the outlying islands or simply want to eat, shop or relax.",81 Telok Blangah Road,26581.1783,27538.1818,http://www.shba.org.sg/
"Bras Basah.Bugis, Singapore Cultural District",see do singapore,places to see,1.300689999667568, 103.8562399999845,"The Bras Basah.Bugis Precinct is the arts and heritage district in Singapore's civic centre, and home to museums and monuments. The Bras Basah.Bugis Precinct is the vibrant arts and cultural district in the heart of Singapore's civic centre, and home to top museums and monuments.",220 Victoria Street,30550.9479,31449.2216,http://www.brasbasahbugis.sg/
SAM at 8Q & Singapore Art Museum,arts,museums galleries,1.297310000096167, 103.8516799997945,"An extension of the Singapore Art Museum, SAM at 8Q features contemporary art exhibitions and is home to a Moving Image Gallery, where film screenings are held. SAM at 8Q at the Singapore Art Museum showcases the works of Singapore contemporary artists.",8 Queen Street,30043.4636,31075.4746,
Jamae Mosque (Masjid Chulia) Singapore,culture heritage,places of worship,1.283109999836088, 103.845540000143,"Also known as Masjid Chulia, Jamae Mosque is one of Singapore’s oldest mosques and a prominent landmark in Chinatown since the 1820s. Jamae Mosque (or Masjid Chulia) is one of Singapore’s oldest mosques and a prominent landmark in Chinatown since the 1820s.",218 South Bridge Road,29360.1435,29505.3077,http://www.masjidjamaechulia.sg/
Institute of Contemporary Arts Singapore,arts,performance arts,1.302900000419045, 103.8516000003647,"This experimental art space housed in a tertiary arts college will help you deepen your understanding of contemporary art. Housed in a tertiary arts college, the Institute of Contemporary Arts Singapore will help you deepen your appreciation for experimental artworks.","LASALLE College of the Arts, 1 McNally Street",30034.5559,31693.5879,https://www.lasalle.edu.sg/ICAS/About-ICAS
Singapore Flyer,recreation leisure,viewpoints,1.289298999602808, 103.8631369998553,"This giant observation wheel offers 360-degree city views, a panorama that stretches to parts of Malaysia and Indonesia on a clear day. The Singapore Flyer not only offers you stunning views of the city, but is one of the city’s most recognisable architectural icons.",30 Raffles Avenue,31318.5367,30189.6714,http://www.singaporeflyer.com
Marina Bay Sands®,architecture,modern,1.283456000062664, 103.8608099997589,"A feat of engineering, an architectural statement and a sheer aesthetic triumph, Marina Bay Sands<sup>®</sup> has upped the ante for buildings in Singapore. Superlatives naturally spring to mind when beholding Marina Bay Sands®. Its bold, swooping curves, steep slopes, and soaring spaces defy gravity and evoke awe.",10 Bayfront Avenue,31059.5684,29543.5798,http://www.marinabaysands.com
Marina Barrage,architecture,modern,1.280630000329895, 103.8715900003858,This innovative facility not only supplies water to Singaporeans and helps alleviate floods but also doubles up as a place for family fun. The Marina Barrage not only supplies water to Singaporeans and helps alleviate floods but also doubles up as a place for family fun.,8 Marina Gardens Drive,32259.2983,29231.1107,https://www.pub.gov.sg/marinabarrage
Henderson Waves Bridge,architecture,modern,1.276242499946525, 103.8152539002182,"Lush jungle is broken up with a seriously creative twist in the fantastic form of the Henderson Waves bridge. With the Henderson Waves bridge, form meets function to stunning effect.",Henderson Road,25989.5445,28745.9388,http://www.nparks.gov.sg
Labrador Nature Reserve,nature wildlife,reserves,1.265833000328956, 103.8019439995682,"With its rich biodiversity and war relics, nature lovers and history enthusiasts will find plenty to do at Labrador Nature Reserve. With its rich biodiversity and war relics, nature lovers and history enthusiasts will find plenty to do at Labrador Nature Reserve.",Labrador Villa Road,24508.2441,27594.9243,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=naturereserves&id=48
Marina Bay Singapore: Attractions & Things to do,see do singapore,places to see,1.280284800324347, 103.8564540001523,"Marina Bay represents all things modern and super-stylish, from trendy dining destinations to exciting leisure spots. Marina Bay represents all things modern and super-stylish in Singapore, from trendy dining destinations to fun leisure spots.",11 Marina Boulevard,30574.7846,29192.92,http://www.marina-bay.sg
"Marina Bay Sands, Singapore",recreation leisure,resorts,1.283878500351668, 103.8589900004328,"This iconic integrated resort boasts luxury accommodations, upscale shopping and an infinity pool with unparalleled views of the city. Marina Bay Sands® boasts luxury accommodations, upscale shopping and an infinity pool with unparalleled views of the city.",10 Bayfront Avenue,30857.017,29590.2956,http://www.marinabaysands.com/index.html
Chek Jawa,nature wildlife,reserves,1.40786599955557, 103.963709999858,"A world away from shopping malls and glitzy hotels, this natural wonder is one of Singapore’s richest eco-systems. A world away from shopping malls and glitzy hotels, the natural wonder of Chek Jawa is one of Singapore’s richest eco-systems.","Chek Jawa, Pulau Ubin",42510.7668,43300.5908,https://www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/pulau-ubin-and-chek-jawa/what-to-see/about-chek-jawa
